Anglo-America,2017-01-01,14378,24573,58.51,1
Europe,2017-01-01,7039,24573,28.65,2
Latin-America,2017-01-01,2202,24573,8.96,3
Oceania,2017-01-01,788,24573,3.21,4
Asia,2017-01-01,101,24573,0.41,5
Africa,2017-01-01,65,24573,0.26,6
Anglo-America,2017-01-02,13914,24546,56.69,1
Europe,2017-01-02,7569,24546,30.84,2
Latin-America,2017-01-02,2109,24546,8.59,3
Oceania,2017-01-02,788,24546,3.21,4
Asia,2017-01-02,101,24546,0.41,5
Africa,2017-01-02,65,24546,0.26,6
Anglo-America,2017-01-03,14208,24740,57.43,1
Europe,2017-01-03,7374,24740,29.81,2
Latin-America,2017-01-03,2063,24740,8.34,3
Oceania,2017-01-03,929,24740,3.76,4
Asia,2017-01-03,101,24740,0.41,5
Africa,2017-01-03,65,24740,0.26,6
Anglo-America,2017-01-04,14221,24863,57.2,1
Europe,2017-01-04,7484,24863,30.1,2
Latin-America,2017-01-04,2063,24863,8.3,3
Oceania,2017-01-04,929,24863,3.74,4
Asia,2017-01-04,101,24863,0.41,5
Africa,2017-01-04,65,24863,0.26,6
Anglo-America,2017-01-05,14271,24797,57.55,1
Europe,2017-01-05,7368,24797,29.71,2
Latin-America,2017-01-05,2063,24797,8.32,3
Oceania,2017-01-05,929,24797,3.75,4
Asia,2017-01-05,101,24797,0.41,5
Africa,2017-01-05,65,24797,0.26,6
Anglo-America,2017-01-06,14009,25403,55.15,1
Europe,2017-01-06,8208,25403,32.31,2
Latin-America,2017-01-06,2010,25403,7.91,3
Oceania,2017-01-06,1010,25403,3.98,4
Asia,2017-01-06,101,25403,0.4,5
Africa,2017-01-06,65,25403,0.26,6
Anglo-America,2017-01-07,14134,25472,55.49,1
Europe,2017-01-07,8112,25472,31.85,2
Latin-America,2017-01-07,2131,25472,8.37,3
Oceania,2017-01-07,929,25472,3.65,4
Asia,2017-01-07,101,25472,0.4,5
Africa,2017-01-07,65,25472,0.26,6
Anglo-America,2017-01-08,14231,25628,55.53,1
Europe,2017-01-08,8239,25628,32.15,2
Latin-America,2017-01-08,2063,25628,8.05,3
Oceania,2017-01-08,929,25628,3.62,4
Asia,2017-01-08,101,25628,0.39,5
Africa,2017-01-08,65,25628,0.25,6
Anglo-America,2017-01-09,14293,25771,55.46,1
Europe,2017-01-09,8405,25771,32.61,2
