Anglo-America,2017-01-01,6922,11927,58.04,1
Europe,2017-01-01,3372,11927,28.27,2
Latin-America,2017-01-01,1205,11927,10.1,3
Oceania,2017-01-01,348,11927,2.92,4
Asia,2017-01-01,57,11927,0.48,5
Africa,2017-01-01,23,11927,0.19,6
Anglo-America,2017-01-02,6614,11815,55.98,1
Europe,2017-01-02,3661,11815,30.99,2
Latin-America,2017-01-02,1112,11815,9.41,3
Oceania,2017-01-02,348,11815,2.95,4
Asia,2017-01-02,57,11815,0.48,5
Africa,2017-01-02,23,11815,0.19,6
Anglo-America,2017-01-03,6723,11991,56.07,1
Europe,2017-01-03,3645,11991,30.4,2
Latin-America,2017-01-03,1066,11991,8.89,3
Oceania,2017-01-03,477,11991,3.98,4
Asia,2017-01-03,57,11991,0.48,5
Africa,2017-01-03,23,11991,0.19,6
Anglo-America,2017-01-04,6734,12003,56.1,1
Europe,2017-01-04,3646,12003,30.38,2
Latin-America,2017-01-04,1066,12003,8.88,3
Oceania,2017-01-04,477,12003,3.97,4
Asia,2017-01-04,57,12003,0.47,5
Africa,2017-01-04,23,12003,0.19,6
Anglo-America,2017-01-05,6582,11834,55.62,1
Europe,2017-01-05,3629,11834,30.67,2
Latin-America,2017-01-05,1066,11834,9.01,3
Oceania,2017-01-05,477,11834,4.03,4
Asia,2017-01-05,57,11834,0.48,5
Africa,2017-01-05,23,11834,0.19,6
Anglo-America,2017-01-06,6651,12284,54.14,1
Europe,2017-01-06,3935,12284,32.03,2
Latin-America,2017-01-06,1060,12284,8.63,3
Oceania,2017-01-06,558,12284,4.54,4
Asia,2017-01-06,57,12284,0.46,5
Africa,2017-01-06,23,12284,0.19,6
Anglo-America,2017-01-07,6645,12201,54.46,1
Europe,2017-01-07,3893,12201,31.91,2
Latin-America,2017-01-07,1106,12201,9.06,3
Oceania,2017-01-07,477,12201,3.91,4
Asia,2017-01-07,57,12201,0.47,5
Africa,2017-01-07,23,12201,0.19,6
Anglo-America,2017-01-08,6635,12160,54.56,1
Europe,2017-01-08,3902,12160,32.09,2
Latin-America,2017-01-08,1066,12160,8.77,3
Oceania,2017-01-08,477,12160,3.92,4
Asia,2017-01-08,57,12160,0.47,5
Africa,2017-01-08,23,12160,0.19,6
Anglo-America,2017-01-09,6657,12204,54.55,1
Europe,2017-01-09,3947,12204,32.34,2
Latin-America,2017-01-09,1060,12204,8.69,3
Oceania,2017-01-09,460,12204,3.77,4
Asia,2017-01-09,57,12204,0.47,5
Africa,2017-01-09,23,12204,0.19,6
Anglo-America,2017-01-10,6741,12217,55.18,1
Europe,2017-01-10,3853,12217,31.54,2
Latin-America,2017-01-10,1066,12217,8.73,3
Oceania,2017-01-10,477,12217,3.9,4
Asia,2017-01-10,57,12217,0.47,5
Africa,2017-01-10,23,12217,0.19,6
Anglo-America,2017-01-11,6749,12232,55.17,1
Europe,2017-01-11,3860,12232,31.56,2
Latin-America,2017-01-11,1066,12232,8.71,3
Oceania,2017-01-11,477,12232,3.9,4
Asia,2017-01-11,57,12232,0.47,5
Africa,2017-01-11,23,12232,0.19,6
Anglo-America,2017-01-12,6760,12205,55.39,1
Europe,2017-01-12,3822,12205,31.32,2
Latin-America,2017-01-12,1066,12205,8.73,3
Oceania,2017-01-12,477,12205,3.91,4
Asia,2017-01-12,57,12205,0.47,5
Africa,2017-01-12,23,12205,0.19,6
Anglo-America,2017-01-13,6838,12726,53.73,1
Europe,2017-01-13,4324,12726,33.98,2
Latin-America,2017-01-13,1060,12726,8.33,3
Oceania,2017-01-13,424,12726,3.33,4
Asia,2017-01-13,57,12726,0.45,5
Africa,2017-01-13,23,12726,0.18,6
Anglo-America,2017-01-14,6797,12720,53.44,1
Europe,2017-01-14,4259,12720,33.48,2
Latin-America,2017-01-14,1124,12720,8.84,3
Oceania,2017-01-14,460,12720,3.62,4
Asia,2017-01-14,57,12720,0.45,5
Africa,2017-01-14,23,12720,0.18,6
Anglo-America,2017-01-15,6822,12506,54.55,1
Europe,2017-01-15,4020,12506,32.14,2
Latin-America,2017-01-15,1124,12506,8.99,3
Oceania,2017-01-15,460,12506,3.68,4
Asia,2017-01-15,57,12506,0.46,5
Africa,2017-01-15,23,12506,0.18,6
Anglo-America,2017-01-16,6901,12509,55.17,1
Europe,2017-01-16,3984,12509,31.85,2
Latin-America,2017-01-16,1084,12509,8.67,3
Oceania,2017-01-16,460,12509,3.68,4
Asia,2017-01-16,57,12509,0.46,5
Africa,2017-01-16,23,12509,0.18,6
Anglo-America,2017-01-17,7023,12670,55.43,1
Europe,2017-01-17,4019,12670,31.72,2
Latin-America,2017-01-17,1124,12670,8.87,3
Oceania,2017-01-17,424,12670,3.35,4
Asia,2017-01-17,57,12670,0.45,5
Africa,2017-01-17,23,12670,0.18,6
Anglo-America,2017-01-18,6967,12477,55.84,1
Europe,2017-01-18,3882,12477,31.11,2
Latin-America,2017-01-18,1124,12477,9.01,3
Oceania,2017-01-18,424,12477,3.4,4
Asia,2017-01-18,57,12477,0.46,5
Africa,2017-01-18,23,12477,0.18,6
Anglo-America,2017-01-19,7068,12491,56.58,1
Europe,2017-01-19,3915,12491,31.34,2
Latin-America,2017-01-19,1004,12491,8.04,3
Oceania,2017-01-19,424,12491,3.39,4
Asia,2017-01-19,57,12491,0.46,5
Africa,2017-01-19,23,12491,0.18,6
Anglo-America,2017-01-20,7156,12613,56.74,1
Europe,2017-01-20,3811,12613,30.21,2
Latin-America,2017-01-20,1184,12613,9.39,3
Oceania,2017-01-20,416,12613,3.3,4
Africa,2017-01-20,23,12613,0.18,5
Asia,2017-01-20,23,12613,0.18,5
Anglo-America,2017-01-21,7090,12620,56.18,1
Europe,2017-01-21,3842,12620,30.44,2
Latin-America,2017-01-21,1184,12620,9.38,3
Oceania,2017-01-21,424,12620,3.36,4
Asia,2017-01-21,57,12620,0.45,5
Africa,2017-01-21,23,12620,0.18,6
Anglo-America,2017-01-22,7042,12595,55.91,1
Europe,2017-01-22,3829,12595,30.4,2
Latin-America,2017-01-22,1184,12595,9.4,3
Oceania,2017-01-22,460,12595,3.65,4
Asia,2017-01-22,57,12595,0.45,5
Africa,2017-01-22,23,12595,0.18,6
Anglo-America,2017-01-23,7041,12412,56.73,1
Europe,2017-01-23,3809,12412,30.69,2
Latin-America,2017-01-23,1064,12412,8.57,3
Oceania,2017-01-23,452,12412,3.64,4
Africa,2017-01-23,23,12412,0.19,5
Asia,2017-01-23,23,12412,0.19,5
Anglo-America,2017-01-24,7145,12491,57.2,1
Europe,2017-01-24,3820,12491,30.58,2
Latin-America,2017-01-24,1064,12491,8.52,3
Oceania,2017-01-24,416,12491,3.33,4
Africa,2017-01-24,23,12491,0.18,5
Asia,2017-01-24,23,12491,0.18,5
Anglo-America,2017-01-25,7112,12537,56.73,1
Europe,2017-01-25,3719,12537,29.66,2
Latin-America,2017-01-25,1166,12537,9.3,3
Oceania,2017-01-25,460,12537,3.67,4
Asia,2017-01-25,57,12537,0.45,5
Africa,2017-01-25,23,12537,0.18,6
Anglo-America,2017-01-26,7121,12491,57.01,1
Europe,2017-01-26,3664,12491,29.33,2
Latin-America,2017-01-26,1166,12491,9.33,3
Oceania,2017-01-26,460,12491,3.68,4
Asia,2017-01-26,57,12491,0.46,5
Africa,2017-01-26,23,12491,0.18,6
Anglo-America,2017-01-27,7205,12650,56.96,1
Europe,2017-01-27,3796,12650,30.01,2
Latin-America,2017-01-27,1166,12650,9.22,3
Oceania,2017-01-27,403,12650,3.19,4
Asia,2017-01-27,57,12650,0.45,5
Africa,2017-01-27,23,12650,0.18,6
Anglo-America,2017-01-28,7118,12693,56.08,1
Europe,2017-01-28,3780,12693,29.78,2
Latin-America,2017-01-28,1291,12693,10.17,3
Oceania,2017-01-28,424,12693,3.34,4
Asia,2017-01-28,57,12693,0.45,5
Africa,2017-01-28,23,12693,0.18,6
Anglo-America,2017-01-29,7025,12572,55.88,1
Europe,2017-01-29,3777,12572,30.04,2
Latin-America,2017-01-29,1287,12572,10.24,3
Oceania,2017-01-29,403,12572,3.21,4
Asia,2017-01-29,57,12572,0.45,5
Africa,2017-01-29,23,12572,0.18,6
Anglo-America,2017-01-30,6972,12400,56.23,1
Europe,2017-01-30,3770,12400,30.4,2
Latin-America,2017-01-30,1166,12400,9.4,3
Oceania,2017-01-30,403,12400,3.25,4
Asia,2017-01-30,66,12400,0.53,5
Africa,2017-01-30,23,12400,0.19,6
Anglo-America,2017-01-31,7113,12547,56.69,1
Europe,2017-01-31,3776,12547,30.09,2
Latin-America,2017-01-31,1166,12547,9.29,3
Oceania,2017-01-31,403,12547,3.21,4
